timestamp,x (mm),y (mm),z (mm)
1741709795.121919,-275.27308956587626,532.8507906638928,173.929951906469
1741709795.1329727,-275.25455846639744,532.8736359854247,173.93777424908728
1741709795.143952,-275.26785010652276,532.8573644454219,173.93777424908728
1741709795.1549768,-275.2778482611397,532.8476375960854,173.929951906469
1741709795.1659725,-275.2869603593005,532.8378317230829,173.929951906469
1741709795.1769757,-275.26785010652276,532.8573644454219,173.93777424908728
1741709795.1879442,-275.28211154171623,532.841082023488,173.929951906469
1741709795.1989696,-275.26597562892294,532.8494180234079,173.929951906469
1741709795.2099638,-275.28211154171623,532.841082023488,173.929951906469
1741709795.2209504,-275.2772615627723,532.8477533719409,173.929951906469
1741709795.2319267,-275.2585457974102,532.8673817814268,173.929951906469
1741709795.242889,-275.2608263917808,532.8558947206818,173.93777424908728
1741709795.253967,-275.26251041884296,532.860631962741,173.93777424908728
1741709795.2649634,-275.29706216086936,532.8324722451092,173.94559658089548
1741709795.2758467,-275.242409088204,532.8757170677038,173.929951906469
1741709795.2868803,-275.26417903248154,532.8643168010258,173.92212955304782
1741709795.297879,-275.2491449438047,532.8774969409285,173.92212955304782
1741709795.3088803,-275.2628094750179,532.8608264670473,173.929951906469
1741709795.3199623,-275.2877588679159,532.8424903855773,173.93777424908728
1741709795.3309538,-275.2897155367237,532.8458649628471,173.929951906469
1741709795.3418822,-275.2633903679614,532.8607118550783,173.929951906469
1741709795.3529623,-275.26785010652276,532.8573644454219,173.93777424908728
1741709795.3639429,-275.2630913117865,532.8605173507719,173.93777424908728
1741709795.3749428,-275.29081845854466,532.8507097429095,173.929951906469
1741709795.3859541,-275.25942554200526,532.867461553622,173.92212955304782
1741709795.3969395,-275.2495230291195,532.8770897117392,173.929951906469
1741709795.4078865,-275.2722208380185,532.851215417736,173.92212955304782
1741709795.4189477,-275.2495230291195,532.8770897117392,173.929951906469
1741709795.4299586,-275.24667296432136,532.8691618824424,173.929951906469
